"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"161","IDA KOLL-FRAFJORD AS
                ","918317341","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"162","IMENCO CORROSION TECHNOLOGY AS
                ","918315403","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"163","INDIGO INVESTMENT AS
                ","918471065","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"164","INESSE JEWELRY AS
                ","918489487","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"165","INTENSETECH GLENN HENRIK PAULSEN
                ","918446311","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"166","IQUBES BHT AS
                ","918373373","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"167","IRENE FOSSÅ AS
                ","918427015","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"168","ISTANBUL GRILL HOUSE AS
                ","918444475","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"169","ITAMAR AS
                ","918326529","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"170","JACODAHL HOLDING AS
                ","918461981","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"171","JAK HOLDING AS
                ","918389989","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"172","JAN ERIK LYNGSTAD AS
                ","918313869","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"173","JARL ENERGY AS
                ","918312064","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"174","JASI MC AS
                ","918316760","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"175","JHN SUBSEA AS
                ","918400923","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"176","JM NEBULA AS
                ","918488308","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"177","JOAKIM BJERK AS
                ","918444076","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"178","JOHANSEN VAREHANDEL
                ","918356673","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"179","JOHN ESPEN STRØMME AS
                ","918301437","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"180","JOMA INVESTERING AS
                ","918358935","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"181","JT LOGISTIKK AS
                ","918418504","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"182","KALDRAS INVEST AS
                ","918381325","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"183","KARMØY FORSKALING AS
                ","918472525","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"184","KARMØY LAKS AS
                ","818307292","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"185","KARMØY VARETRANSPORT TOM STEFFEN JENSEN MATHISEN
                ","918331700","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"186","KEU HJELPESELSKAP 1 AS
                ","918489746","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"187","KEU HJELPESELSKAP 2 AS
                ","918489797","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"188","KJ TRANSPORTTJENESTER AS
                ","918352880","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"189","KKVBYGG AS
                ","918474072","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"190","KL CONSULTING AS
                ","918359419","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"191","KLEPP LEGESENTER AS
                ","918307532","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"192","KLIMACOMFORT AS
                ","918481192","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"193","KLINIKK 3 TANNLEGER DA
                ","918314210","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"194","KM SOLUTIONS AS
                ","918446338","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"195","KNIGHT HOLDINGS AS
                ","918458220","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"196","KNIV & GAFFEL AS
                ","918419020","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"197","KNOT SHUTTLE TANKERS 32 AS
                ","918447954","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"198","KNUTSEN NYK LNG HOLDING VIII AS
                ","818395922","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"199","KRAFT OPPORTUNITIES AS
                ","918315446","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"200","KRAFTSPIRE AS
                ","918380957","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"201","KSK HOLDING AS
                ","818392052","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"202","KVALA FRISØRTEAM AS
                ","918323236","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"203","KVAMME MASKIN AS
                ","918437509","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"204","KVASSÅSEN AS
                ","918433546","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"205","KVERNELAND ENERGI AS
                ","918376607","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"206","KØ II AS
                ","918306250","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"207","LANDA TAXIBUSS AS
                ","918478809","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"208","LANGÅKERGARDEN AS
                ","918357548","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"209","LAUVÅS VANN OG AVLØP AS
                ","918461698","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"210","LAVENDEL FRISØR AS
                ","918376453","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"211","LEAN FREELANCE CONSULTING AS
                ","918397981","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"212","LEANXCEL AS
                ","918440763","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"213","LEIF OGNEDAL MASKIN AS
                ","918471774","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"214","LERVIK BYGG AS
                ","918478701","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"215","LETT PÅ TÅ LENE RØED
                ","918338446","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"216","LEVEL SOLUTIONS AS
                ","918448004","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"217","LIAPYNTEN INVEST AS
                ","918115269","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"218","LIF'T V/ LILL INGER FURFJORD
                ","918332421","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"219","LINUS LEKER AS
                ","918343997","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
"220","LIREKASSEN HOLDING AS
                ","918310169","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Rogaland","Før"
