"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"89","GREEN VISAYAS HOLDING AS
                ","918367144","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"90","GRONG TAXI AS
                ","818389922","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"91","HAIR DELUXE SIMON INGVALD AARVÅG
                ","918324429","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"92","HAMSTAD MEDIA AS
                ","918415467","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"93","HANDBERG FISK & FANGST AS
                ","918306366","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"94","HANS EGIL FORR
                ","918319425","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"95","HARALD LARSEN RØRLEGGER AS
                ","818448562","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"96","HARALD SELNES
                ","869520632","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"97","HARIS SHARIFI AS
                ","918477896","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"98","HEGE SOLBERG JACOBSEN PSYKOMOTORISK FYSIOTERAPI AS
                ","918449167","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"99","HEGGE LANDBRUKSSERVICE AS
                ","918354492","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"100","HELGÅDAL MONTESSORI SA
                ","918475990","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"101","HEMNE HELSEARTIKLER AS
                ","918454985","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"102","HILDE KYLLO
                ","993965383","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"103","HITRA PORTSERVICE KARL PATRIK LÖVENIUS
                ","918451919","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"104","HJELPEMIDDELEKSPERTEN MIDT NORGE AS
                ","918357033","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"105","HOLTE INNOVATION AS
                ","918431594","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"106","HORISONT FRISØR AS
                ","918472045","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"107","HTS ELECTRONICS AS
                ","918413723","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"108","HUGOS HOLDING AS
                ","818342012","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"109","HUGOS TIVOLI AS
                ","918428038","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"110","HUNNAÅSEN BOLIGUTVIKLING AS
                ","918434488","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"111","HÅKON HANSEN
                ","918459693","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"112","HÅRSTAD EIENDOM DRIFT AS
                ","918401482","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"113","INBARIO AS
                ","918342613","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"114","INDAL OKKENHAUG MASKINLAG SA
                ","918401970","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"115","INDERØY-URTER AS
                ","918382321","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"116","INFRONT-X FEED AS
                ","918267085","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"117","INFRONT-X IMP AS
                ","918276874","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"118","INFRONT-X SOLUTIONS AS
                ","818266952","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"119","INNHERRED KIRURGI AS
                ","918382518","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"120","INTRO TOUR AS
                ","918484817","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"121","IPS TRONDHEIM AS
                ","918312609","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"122","IPSN HOLDING AS
                ","918318968","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"123","J. LYNG HOLDING AS
                ","818382022","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"124","JAMO BOSTAD COACHING
                ","915846955","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"125","JARASBET AS
                ","918352406","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"126","JOHJOH HOLDING AS
                ","918052496","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"127","JOI AS
                ","918460004","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"128","JONAS DYBDAHL MASKIN OG UTLEIE
                ","916352425","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"129","JP AUTOSALG AS
                ","818455992","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"130","K2000 DEKKSENTER & BILPLEIE AS
                ","918409726","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"131","KAGENS HAGEN
                ","918341269","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"132","KIRKHOLTSMIA JAN TOMMY KIRKHOLT
                ","918491260","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"133","KK DRIFT AS
                ","918310673","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"134","KK ENTERTAINMENT AS
                ","918164138","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"135","KRINGEN AS
                ","918410813","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"136","KRUTA EIENDOM AS
                ","918413677","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"137","KUBER AS
                ","918303596","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"138","KUIKEN IOT SOLUTIONS
                ","918412581","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"139","KURS OG OPPLÆRING DA
                ","918451277","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"140","KVELI RÅNES BREMSETH AS
                ","918462767","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"141","KVENILDSTRØA EIENDOM AS
                ","918335315","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"142","KVERNHUSVIKA INVEST AS
                ","918449620","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"143","LAND OG STRAND RESTAURANT AS
                ","918485902","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"144","LANDSTRYKEREN AS
                ","918454780","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"145","LANGLO DENTAL AS
                ","918478205","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"146","LER UTVIKLING AS
                ","918301186","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"147","LEVANGER FOTBALLKLUBB
                ","977361036","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"148","LEVE UTVIKLING AS
                ","918306552","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"149","LILLE THAILAND RESTURANT OG BAR AS
                ","918303286","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"150","LIMANDVIKA GÅRD V/TERJE LIMANDVIK
                ","983443176","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"151","LINCOLN HOLDING AS
                ","918345493","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"152","LITO INVEST AS
                ","818418272","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"153","LUCKSTA ENERGY AS
                ","918291008","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"154","LUMINCODE AS
                ","918412530","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"155","LYRICVIDEOS.NO DA
                ","918454179","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"156","LØVOLD BIL AS
                ","918312722","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"157","LÅVEN TRANSPORT & SERVICE AS
                ","918333266","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"158","M. SMIDESANG HOLDING AS
                ","818390572","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"159","MAGNUS LETNES AS
                ","918456007","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"160","MAKKAMY MAIKEN LILLEVIK MYREN
                ","917714657","2017-01-19","Rettelse av foretaksnavn                          
                ","Trøndelag","Før"
"161","MALERSERVICE - VAN MALSEN AS
                ","918489932","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"162","MALKYRIA V/ MONICA RASMUSSEN
                ","917667101","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"163","MALVIKBAKK UTBYGGINGSSELSKAP OG ØKOGÅRDSDRIFT AS
                ","918321756","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"164","MARIAS KJØKKEN AS
                ","918459383","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"165","MARIUS-HOLDING AS
                ","918301968","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"166","MARJO HOLDING AS
                ","818354592","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"167","MARKISEHACO AS
                ","918408045","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"168","MARTIN SLÅTSVE
                ","918444580","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"169","MASOMA INVEST AS
                ","918403876","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"170","MASTER NÆRINGSPARK AS
                ","918308008","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"171","MEDISINSK ESTETIKK AS
                ","918417745","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"172","MEK INVEST AS
                ","818434332","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"173","MELLOMILA 90 AS
                ","918452893","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"174","MEMENTO U AS
                ","918343814","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"175","MENTZONIFOREVER ALEXANDER MENTZONI
                ","918332162","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"176","MERAAKER ALT AS
                ","818468822","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"177","MIDTNOR AS
                ","918328998","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"178","MITO.AI AS
                ","918330100","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"179","MODE HOLDING AS
                ","918319468","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"180","MOLØKKEN VASSVERK SA
                ","917978484","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"181","MONA LISA SISTRANDA AS
                ","918376291","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"182","MOUM NETWORKS AS
                ","918353828","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"183","MTO HOLDING AS
                ","918423028","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"184","MUNKEBY HERBERGE AS
                ","818463332","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"185","MUNKEGATA 31 SEKSJON 2 AS
                ","918360735","2017-01-14","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"186","NAMSENGATA 12 AS
                ","918478639","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"187","NATALIES AS
                ","918304347","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"188","NESTUGGU AS
                ","918420169","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"189","NIDAROS BRUKT & ANTIKK TORKEL SAND
                ","918389946","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"190","NIDAROS MUSIKK- OG HANDVERKSSKOLE AS
                ","918440402","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"191","NINA GRAN
                ","918331956","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"192","NORDICSOY AS
                ","918320075","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"193","NORDLENDING EGIL HEMFJÄLL
                ","918438882","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"194","NORDRE GATE 9 AS
                ","918324755","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"195","NORGESHUS OPPDAL BYGG AS
                ","918320806","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"196","NORSERVICE INTERIØR AS
                ","818328192","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"197","NORWEGIAN PETROLEUM SERVICES AS
                ","918329404","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"198","NRS SETTEFISK AS
                ","918335323","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"199","NYRØ AUTOMASJON & ELEKTRO AS
                ","918440550","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"200","OABA HOLDING AS
                ","918310835","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"201","OAKROCK HAKSEN LINDESTUEN AS
                ","918409521","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"202","ODYSSEY AS
                ","818439482","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"203","OIB HOLDING AS
                ","918423516","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"204","OLE SVEDJAN DAHL AS
                ","918301275","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"205","ONLINE 24 REGNSKAP AS
                ","918367810","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"206","OPPDAL BYGG EIENDOM AS
                ","918320873","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"207","OPPDAL BYGG HOLDING AS
                ","918320660","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"208","OPPDAL OPTIKK AS
                ","918314679","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"209","OREID EIENDOM AS
                ","918314482","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"210","ORIS DENTAL KLINIKK AS
                ","918317805","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"211","OSKAR' S BUD AS
                ","918425292","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"212","PARTICULAR RECORDINGS COLLECTIVE SA
                ","818007132","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"213","PER ULRIKSEN HOLDING AS
                ","918335862","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
"214","PERSAUNET BOLIG AS
                ","818447302","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Trøndelag","Før"
