"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"27","DELIGHT HEALTH RESORT WESSEL JURRIAAN VIKJORD PATERNOTTE
                ","918162909","2017-01-17","Rettelse av foretaksnavn                          
                ","Nordland","Før"
"28","DELIGHT HEALTH RESORT WESSEL JURRIAN VIKJORD PATERNOTTE
                ","918162909","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"29","DIANORD AS
                ","918403035","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"30","DREVVATN BYGDEHUS SA
                ","916830130","2017-01-07","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"31","DYNTRO DRIFT AS
                ","918336648","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"32","ECO CONSULTING AS
                ","818457812","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"33","ECO FJORD FARMING AS
                ","918462511","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"34","EGBETO AS
                ","918403124","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"35","ELSFJORD MONTESSORISKOLE SA
                ","918475508","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"36","EROBUST AS
                ","918468625","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"37","EUKARYO ABC AS
                ","918403450","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"38","FOTOGRAF MARTHE MØLSTRE AS
                ","918440364","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"39","FRIKULT VAKTMESTERTJENESTER AS
                ","918473971","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"40","FRISØR GULLSAKSEN AS
                ","918316418","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"41","FRK. BREKKE
                ","917371393","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"42","G BY LIHAUG AS
                ","918421742","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"43","G. T. NØREN MASKIN AS
                ","918468579","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"44","GAMMELHAVNA PARKERING AS
                ","918315829","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"45","GEITVIKNESSET AS
                ","918375996","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"46","HANSEN TELECOM AS
                ","918480455","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"47","HAPELI AS
                ","918363963","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"48","HAVBRUKSAKADEMIET AS
                ","918451080","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"49","HEIM1 BORETTSLAG
                ","918483527","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"50","HELGELAND KLATREPARK AS
                ","818467052","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"51","HELGELAND MAL & FLIS AS
                ","918417451","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"52","HEMAVAN CITY BORETTSLAG
                ","918341862","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"53","HEMNES RØR AS
                ","918425853","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"54","HENNINGSVÆR LYSSTØPERI AS
                ","918329900","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"55","HEPPE AS
                ","918320709","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"56","HERMOD HOLDING AS
                ","918403043","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"57","HITCH AS
                ","918418830","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"58","HSN DRIFT AS
                ","918417311","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"59","IOAN POP BYGGUTLEIE AS
                ","918426108","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"60","J. BRÆKKAN GRAVESERVICE
                ","892983372","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"61","JAN SIGURD SELJEVOLL
                ","918410562","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"62","JATO II AS
                ","818321082","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"63","JB MALERSERVICE AS
                ","918415157","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"64","JC BECH AS
                ","918356762","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"65","JULIE AS
                ","918355863","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"66","KG LIVSSTIL AS
                ","918340858","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"67","KJØPSVIK TRANSPORT OG MULTISERVICE AS
                ","918450114","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"68","KK-INVEST KARLSEN AS
                ","818446462","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"69","KLEIVA 25 AS
                ","918417788","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"70","KOBBVASSGRENDA FRITID AS
                ","918415815","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"71","KS EIENDOM AS
                ","918446761","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"72","KULTURVERK AS
                ","917004536","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"73","L.N AUTO LARS-MARTIN HENRIKSEN NEDREVÅG
                ","918478892","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"74","LATECH AS
                ","918346074","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"75","LAVPRISVAREHUSET TROLLET AS
                ","918482717","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"76","LINE ANETTE JAKOBSEN
                ","918331182","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"77","LITBYGG MO AS
                ","917278458","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"78","LØNSDAL EIENDOM AS
                ","918353771","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"79","M&M STRØFLIS AS
                ","918490566","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"80","MA DRIFT OG UTLEIE AS
                ","918473068","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"81","MARITAS HELSE OG LIVSSTIL MARITA HELENE HENRIKSEN HAUGEN
                ","918299874","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"82","MEESERVICES KONSTANTINS SMIRNOVS
                ","918487492","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"83","MEYER FORVALTNING AS
                ","918462783","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"84","MEYER UTVIKLING AS
                ","918462791","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"85","MIKAEL SOLLI AS
                ","918459243","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"86","MM CONSERTS AS
                ","918432728","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"87","MOLOVEIEN 10 HOLDING AS
                ","818447442","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"88","NARVIK HELSEKLINIKK DA
                ","918307230","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"89","NARVIK LEKER & KREATIVITET AS
                ","818464452","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"90","NORDLAND MASKINSENTER AS
                ","818417322","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"91","NORSK HAVBRUKSAKADEMI AS
                ","918441964","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"92","NORTH GEEKSTREET DA
                ","918351302","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"93","NORTHERN FUTURE INVEST AS
                ","918309799","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"94","NP-MASKIN AS
                ","918439757","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"95","OFFERSØY FERIESENTER DRIFT AS
                ","918375309","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"96","OPPLEVELSESØYA FEMRIS AS
                ","918270485","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"97","P EIE AS
                ","918402373","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"98","PEDERSEN TRADING
                ","918294589","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"99","PEGGY AS
                ","918330917","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"100","PLUGGEN EL-INSTALLASJON AS
                ","918308385","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"101","POLAR NÆRINGSMEGLING AS
                ","918358722","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"102","PRIMEX NORWAY HOLDING AS
                ","918374647","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"103","PROMOTIX R.LARSEN
                ","988690295","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"104","PÅL STØRSETH
                ","916338376","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"105","RANA BILBERGING TRANSPORT AS
                ","818311842","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"106","REFYS AS
                ","918304827","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"107","RESTAURANT AURORA AS
                ","918316477","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"108","RM REGNSKAPSTJENESTER RAGNHILD MADSEN
                ","918144455","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"109","ROGNAN HOTELL HOLDING AS
                ","918470190","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"110","ROYS GULL OPPDRETT ROY KRISTOFFERSEN
                ","998995604","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"111","SALOMONSEN MASKINTEKNIKK AS
                ","918414622","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"112","SALONG SMUK NADJA BEKKEN
                ","918435212","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"113","SALTEN BAR DRIFT AS
                ","918468951","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"114","SALTEN ENTREPRENØR & EIENDOM AS
                ","918489436","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"115","SALTEN FISKEINDUSTRI AS
                ","818370652","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"116","SALTSTRAUMEN EVENTS AS
                ","918380671","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"117","SAMEIET BJERKVIK TERRASSE
                ","818309082","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"118","SAMEIET JENSVOLLDALEN 1
                ","918399275","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"119","SHELLSEA AS
                ","918379096","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"120","SIKA EIENDOM AS
                ","918319352","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"121","SKYFITNESS FAUSKE AS
                ","918478345","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"122","SNORRE ELIASSEN HOLDING AS
                ","918046410","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"123","SOLVE-IT AS
                ","918481443","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"124","STORGATA 27/29 BODØ AS
                ","918381759","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"125","STORJORD MONTESSORISKOLE AS
                ","818477082","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"126","SVOLVÆR SPORTCENTER AS
                ","918414584","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"127","TAKST1 HELGELAND AS
                ","918447067","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"128","TANNSMIA AS
                ","818377142","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"129","TOBIASSEN INVEST AS
                ","918491694","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"130","TORVET 1 A OG B AS
                ","918433244","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"131","TRAFIKKSKOLEN LEKNES AS
                ","918441379","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"132","TRANSPORTMANNEN AS
                ","918367160","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"133","TRANØY FYR AS
                ","918402934","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"134","TRASÈ AS
                ","917795258","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"135","TROPEFJORD AS
                ","918450459","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"136","TRÆNA FISKER AS
                ","918046941","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"137","TVENNING MARITIME AS
                ","818487932","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"138","UMULIGE HOTELLER AS
                ","918489983","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"139","UNI IT AS
                ","918358234","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"140","VESTFJORDGATA DRIFT AS
                ","918309675","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"141","VESTSKJÆR AS
                ","918368574","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"142","VOLLENS AS
                ","918351779","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"143","WENSETH AGENTURER AS
                ","918306714","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"144","WETTING BIL TECHNOLOGIES
                ","918482016","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"145","YES EIENDOM AS
                ","918465189","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"146","YJ HOLDING AS
                ","918446656","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"147","ØVERGÅRD AS
                ","918458824","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"148","ADRIANA OCHOA AS
                ","918528768","2017-02-07","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"149","ADVOKAT ESPEN QVIGSTAD AS
                ","918581073","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"150","ALBRIGTSEN MARITIM AS
                ","918501614","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"151","ALENA CARAVAN OG FRITIDSSERVICE AS
                ","918590323","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"152","ALTINOR AS
                ","918547142","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"153","AQUA LOFOTEN COAST ADVENTURE AS
                ","918486313","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"154","ARNTZBERG HOLDING AS
                ","918576983","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"155","ARTHUR PETRUS FREDRIKSEN
                ","918591710","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"156","BALERA AS
                ","918596887","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"157","BELEGG OG MALERSERVICE LTD
                ","917985413","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"158","BODØ EDUTAINMENT AS
                ","918575006","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"159","BODØ SENTRUMSFORUM AS
                ","918583548","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"160","BODØ UTLEIEBYGG AS
                ","918307079","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"161","BORETTSLAGET LAGMANNSGATA 28
                ","918644784","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"162","BR. OLAFSEN KYSTFISKE AS
                ","918536760","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"163","BUTIKKEN EIENDOM AS
                ","918575472","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"164","BØ HAVFISKE AS
                ","918487735","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"165","C&A HOLDING AS
                ","818622422","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"166","CARINDERIA NARVIK CORNELIS BEREND VAN MAANEN
                ","918548904","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"167","CORBU AS
                ","918589430","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"168","DAHLBERG AS
                ","818582862","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"169","DEADLINE MEDIA & FILM AS
                ","918616209","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"170","DEN MISUNNELIGE FRISØR AS
                ","818619952","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"171","EA BYGG AS
                ","918539492","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"172","ELEKTRO HELGELAND AS
                ","918583149","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"173","EVENES CAMPING AS
                ","918631461","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"174","EXTENSOR HOLDING AS
                ","918500022","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"175","FADE FRISØR AS
                ","918527249","2017-02-07","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"176","FINNEIDFJORD BÅTFORENING FBF
                ","916007329","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"177","FRISK NORD AS
                ","918536310","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"178","FRISØR ALSAYEGH
                ","918609326","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"179","FRYDENLUND STRAND TRINN 1 AS
                ","918501924","2017-02-03","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"180","G. T. NØREN MASKIN AS
                ","918468579","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"181","GILDESKÅL MARINE CENTER AS
                ","918496769","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"182","GIVE THANKS PRODUCTION DA
                ","918048251","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"183","GO2LOFOTEN AS
                ","818601212","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"184","HANDYMAN SALTEN AS
                ","918598928","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"185","HATTFJELLDAL SERVICEBYGG AS
                ","918545271","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"186","HAVMANNEN BORETTSLAG
                ","918520104","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"187","HAVTEKNOLOGI AS
                ","918441204","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"188","HELGELAND BAKERI & KONDITORI AS
                ","818575742","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"189","HEROYS AS
                ","918623655","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"190","HIPPOCAMPUS NORD AS
                ","918513418","2017-02-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"191","HOBBYHIMMELEN ANNE LINE JARNÆS
                ","918555234","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"192","HOLAND GÅRD CHRISTIAN SVARTIS
                ","918563431","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"193","HOTELLDRIFT BW AS
                ","918622578","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"194","HUSVÆR SMÅBÅTHAVN SA
                ","918338748","2017-02-07","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"195","IC OPTICAL GROUP AS
                ","918552685","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"196","IVARS MARSKIN
                ","918480331","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"197","IVERGÅRDEN AS
                ","918539425","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"198","J.ARNTSEN INVEST AS
                ","918552812","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"199","JIM-KYRRE BENJAMINSEN AS
                ","918576509","2017-02-16","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"200","KIROPRAKTOR SILJE RAVN
                ","913889010","2017-02-17","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"201","KVALITET BYGG & EIENDOM AS
                ","918576363","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"202","L.N AUTO LARS-MARTIN HENRIKSEN NEDREVÅG
                ","918478892","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"203","LARSEN MEKANISKE AS
                ","918598960","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"204","LAVPRISVAREHUSET TROLLET AS
                ","918482717","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"205","LEGENDARY SYSTEMS AS
                ","918621067","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"206","LINN SOFIE AS
                ","918624910","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"207","LOFOTEN FYSIO- OG MANUELLTERAPI AS
                ","918420495","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"208","LOFOTEN PT AS
                ","918642722","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"209","LOFOTEN RORBU SUITER AS
                ","918579109","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"210","LOLA AS
                ","918588094","2017-02-20","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"211","LOU HOLDING AS
                ","818551142","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"212","M&M STRØFLIS AS
                ","918490566","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"213","MACHINE RENT AS
                ","918564071","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"214","MAGNETO AS
                ","918544100","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"215","MEESERVICES KONSTANTINS SMIRNOVS
                ","918487492","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"216","MONTERING
                ","918450386","2017-02-28","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
"217","MOOREFILMS LIMITED
                ","918372490","2017-02-04","Nyregistrering i Foretaksregisteret               
                ","Nordland","Før"
